0,1,2,3,gold formula
( ( ( x_2 >= 0.233 or x_2 >= 0.233 ) or ( x_2 >= 0.2332 or x_2 >= 0.2332 ) ) and ( ( x_2 >= 0.2332 or x_2 >= 0.2332 ) or ( x_2 >= 0.2332 or x_2 >= 0.2332 ) ) ),"( ( ( x_2 >= -0.0515 or x_2 >= 0.1155 ) and ( x_2 >= -0.1155 or x_2 >= -0.1555 ) ) until[1,19] ( ( x_2 >= -0.1555 or x_2 >= -0.1555 ) or ( x_2 >= -0.1555 until[12,20] x_2 >= -0.1555 ) ) )",((x_2>= 0.0331orx_2>= 0.0383)and(x_2>= 0.0337orx_2>= 0.0399))or((x_2>= 0.0367andx_2>= 0.0399)and(x_2>= 0.0367andx_2>= 0.0399))),"( x_2 >= 0.1923 until[16,18] x_2 >= 0.1923 )","always[0,14] ( x_2 >= 0.1585 )"
( ( ( x_2 >= -0.033 or x_2 >= -0.033 ) or ( x_2 >= -0.133 or x_2 >= -0.033 ) ) and ( ( x_2 >= -0.133 or x_2 >= -0.033 ) or ( x_2 >= -0.164 or x_2 >= -0.064 ) ) ),"( ( ( x_2 >= -0.0055 or x_2 >= -0.0525 ) or ( x_2 >= -0.0525 and x_2 >= -0.0525 ) ) or ( ( x_2 >= -0.0525 until[10,22] x_2 >= -0.0525 ) and ( x_2 >= -0.0525 until[11,21] x_2 >= -0.0555 ) ) )",((x_2>=-0.0337orx_2>=-0.0389)and(x_2>=-0.0337orx_2>=-0.039))or((x_2>=-0.0367andx_2>=-0.036)and(x_2>=-0.0337andx_2>=-0.039))),"( x_2 >= -0.0929 or ( x_0 <= -0.2229 until[19,21] x_1 <= -0.9229 ) )",( not ( not ( not ( x_0 >= -1.6894 ) ) ) or x_2 >= 0.0152 )
"( ( ( x_2 <= -0.665 or x_2 <= -0.656 ) or ( x_2 <= -0.656 or x_2 <= -0.666 ) ) until[1,18] ( ( x_2 <= -0.666 or x_2 <= -0.6662 ) and ( x_2 <= -0.666 or x_2 <= -0.666 ) ) )","( ( ( ( x_2 <= -0.7155 or x_2 <= -0.7555 ) or ( x_2 <= -0.1555 and x_2 <= -0.7555 ) ) until[1,21] ( ( x_2 <= -0.7555 or x_2 <= -0.7555 ) or ( x_2 <= -0.7555 until[2,20] x_2 <= -0.7555 ) ) ) or ( ( ( x_2 <= -0.5555 or x_2 <= -0.2555 ) until[25,33] ( x_2 <= -0.7555 and x_2 <= -0.7555 ) ) and ( ( x_2 <= -0.2555 until[20,29] x_2 <= -0.2555 ) or ( x_2 <= -0.2555 until[2,24] x_2 <= -0.2555 ) ) ) )","(((x_2<=-0.5677andx_2<=-0.599)and(x_2<=-0.5837orx_2<=-0.299))or((x_2<=-0.5967andx_2<=-0.2997)and(x_2<=-0.6977andx_2<=-0.699)))until[10,28](((x_2<=-0.6977orx_2<=-0.699)and(x_2<=-0.6937orx_2<=-0.699))or((x_2<=-0.6977andx_2<=-0.699)and(x_2<=-0.6977orx_2<=-0.699))))","eventually[19,21] ( x_2 <= -0.7922 )","eventually[17,20] ( not ( x_2 >= -0.7313 ) )"
( ( x_1 <= -0.663 or x_1 >= -0.666 ) and ( x_1 >= -0.666 or x_1 >= -0.666 ) ),( ( x_1 >= -0.7055 or x_1 <= 0.5005 ) and ( x_0 <= -1.0009 or x_1 <= -0.7095 ) ),(x_1>=-0.6037andx_1>=-0.609)and(x_1>=-0.6037orx_1>=-0.609)),( x_1 >= -0.7999 and x_1 <= 1.0929 ),"( ( ( x_0 >= -0.0749 until[3,16] ( x_0 >= -0.5857 and ( not ( always ( x_2 <= -0.6048 ) ) and x_2 <= 0.885 ) ) ) or ( always[11,15] ( always[10,15] ( x_0 <= -1.1594 ) ) or eventually[4,6] ( ( always[12,17] ( ( x_1 <= 1.5265 until[9,inf] x_1 <= 0.7758 ) ) until[18,21] x_1 >= -0.393 ) ) ) ) and x_1 >= -0.7782 )"
"( ( ( x_2 >= -0.0332 or x_2 >= 0.033 ) or ( x_2 >= 0.2232 or x_2 >= 0.0332 ) ) until[23,32] ( ( x_2 >= 0.1332 or x_2 >= -0.034 ) or ( x_2 >= 0.1342 or x_2 >= 0.2242 ) ) )","( ( ( ( x_2 >= -0.0515 or x_2 >= -0.1525 ) until[1,15] ( x_2 >= -0.1125 or x_2 >= -0.1225 ) ) until[15,22] ( ( x_2 >= -0.1125 or x_2 >= -0.1225 ) and ( x_2 >= -0.1525 or x_2 >= -0.1525 ) ) ) or ( ( ( x_2 >= -0.1555 or x_2 >= -0.1555 ) until[29,32] ( x_2 >= -0.1555 until[20,29] x_2 >= -0.1555 ) ) and ( ( x_2 >= -0.1555 until[25,33] x_2 >= -0.1555 ) or ( x_2 >= -0.1555 until[25,30] x_2 >= -0.1555 ) ) ) )","(((x_2>=-0.0661orx_2>=-0.0663)and(x_2>=-0.0667orx_2>=-0.0669))until[10,19]((x_2>=-0.0667orx_2>=-0.0399)or(x_2>=-0.0337orx_2>=-0.0669)))or(((x_2>= 0.0667andx_2>= 0.0399)and(x_2>= 0.0337andx_2>=-0.0699))until[10,29]((x_2>= 0.0336orx_2>= 0.0399)or(x_2>= 0.0377andx_2>= 0.0699))))","always[19,21] ( ( x_2 >= -0.0929 until[16,18] x_2 >= 0.0922 ) )",( x_2 >= 0.9975 or always ( x_2 >= -0.0401 ) )
"not ( always[27,35] ( not ( x_2 >= -0.142 ) ) )","( ( ( ( x_0 <= -0.0005 until[2,20] x_0 <= -0.0055 ) or ( x_0 <= -0.0005 until[20,23] x_0 <= -0.0525 ) ) or ( ( x_0 <= -0.0055 until[20,23] x_0 <= -0.0525 ) and ( x_2 >= -0.2225 until[25,33] x_2 >= -0.2225 ) ) ) or always[29,33] ( always[2,19] ( always[2,15] ( x_2 >= -0.2225 ) ) ) )","(((x_0>=-0.0061andx_0>=-0.0097)and(x_0>=-0.0067orx_0>=-0.0099))until[10,19]((x_0>=-0.0067orx_0>=-0.0999)and(x_0>=-0.0067orx_0>=-0.0999)))oreventually[10,19](eventually[10,16](eventually[10,16](x_2>=-0.2217))))","always[19,inf] ( x_2 >= -0.2622 )","always[12,15] ( eventually[15,19] ( not ( eventually[12,16] ( x_2 <= -0.2316 ) ) ) )"
( ( ( x_1 >= -0.513 or x_2 <= 0.163 ) or ( x_1 >= -0.163 and x_2 <= -0.163 ) ) and ( ( x_2 <= -0.166 or x_1 >= -0.166 ) or ( x_2 <= -0.166 and x_1 >= -0.166 ) ) ),"( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0555 ) or ( x_2 <= -0.0555 and x_1 >= -0.0525 ) ) or ( ( x_2 <= -0.0525 and x_2 <= -0.0555 ) or ( x_2 <= -0.0525 and x_2 <= -0.0555 ) ) ) until[1,10] ( ( ( x_2 <= -0.0555 or x_2 <= -0.2225 ) or ( x_2 <= -0.2555 or x_2 <= -0.2555 ) ) or ( ( x_2 <= -0.2555 and x_2 <= -0.2555 ) or ( x_2 <= -0.2555 until[1,19] x_2 <= -0.2555 ) ) ) )",((x_2<= 0.2337orx_1>= 0.288)or(x_2<= 0.0337andx_1>= 0.098))and((x_2<= 0.0667orx_0>= 0.299)or(x_1>= 0.0937andx_2<= 0.099))),( x_2 <= -0.5929 or x_1 >= 1.0929 ),( x_2 <= -0.4802 or x_1 >= 0.8888 )
"always[2,inf] ( always[2,inf] ( not ( x_2 <= 0.5331 ) ) )","always[25,33] ( ( ( ( x_2 >= -0.1515 or x_2 >= -0.1225 ) or ( x_2 >= -0.1225 or x_2 >= -0.2225 ) ) until[25,33] ( ( x_2 >= 0.5225 and x_2 >= -0.2225 ) and ( x_2 >= -0.2225 or x_2 >= -0.2225 ) ) ) )","lways[10,inf]((((x_2>= 0.5111orx_2>= 0.5166)or(x_2>= 0.0631orx_0>=-0.0066))and((x_2>= 0.0611orx_2>= 0.0699)or(x_2>= 0.6061orx_2>= 0.0696))))","always[19,inf] ( x_2 >= 0.5523 )","eventually[9,16] ( always[1,inf] ( always[5,13] ( x_2 >= 0.5059 ) ) )"
not ( ( ( x_2 <= -0.033 or x_2 <= -0.033 ) and ( x_2 <= -0.033 or x_2 <= -0.034 ) ) ),"( ( ( x_2 >= -0.0515 or x_2 >= -0.0555 ) or ( x_2 >= -0.1055 and x_2 >= -0.1055 ) ) or ( ( x_2 >= -0.1555 until[11,20] x_2 >= -0.1555 ) and ( x_2 >= -0.1555 until[11,20] x_2 >= -0.1555 ) ) )",ot(((x_2<=-0.0336andx_2<=-0.0389)or(x_2<=-0.0367andx_2<=-0.038))),"( x_2 >= -0.1929 or ( x_2 >= -0.0229 until[19,21] x_1 <= -0.2222 ) )","( x_2 >= -0.1243 or ( ( ( not ( x_2 <= -0.7062 ) and x_1 >= 1.2007 ) and x_1 >= -0.4669 ) until[13,21] x_1 <= 0.142 ) )"
( ( ( x_2 <= 0.133 or x_2 <= 0.133 ) or ( x_2 <= -0.133 or x_2 <= -0.133 ) ) or ( ( x_2 <= -0.133 and x_1 <= -0.133 ) and ( x_2 <= -0.133 or x_1 <= -0.034 ) ) ),"( ( ( x_2 <= 0.1055 or x_2 <= -0.0055 ) or ( x_2 <= -0.0055 until[1,19] x_1 <= -0.1225 ) ) or ( ( x_2 <= -0.0525 or x_2 <= -0.0525 ) or ( x_2 <= -0.0555 until[10,22] x_2 <= -0.0555 ) ) )",((x_2<= 0.1337orx_2<= 0.039)or(x_2<= 0.0337andx_1<=-0.139))or((x_2<= 0.0377andx_2<= 0.039)and(x_2<= 0.0337orx_1<=-0.099))),"( x_2 <= 0.1129 or ( x_1 <= -0.9229 until[19,21] x_1 <= -0.6229 ) )",( x_2 <= 0.2074 or x_1 <= -1.1805 )
"( ( ( x_2 >= -0.133 or x_2 >= -0.033 ) or ( x_2 >= -0.033 or x_2 >= -0.034 ) ) until[1,28] ( ( x_2 >= -0.1332 or x_2 >= -0.034 ) or ( x_2 >= -0.164 or x_2 >= -0.044 ) ) )","( ( ( ( x_2 >= -0.1515 or x_2 >= -0.1555 ) until[1,15] ( x_2 >= -0.1155 or x_2 >= -0.1555 ) ) or ( ( x_2 >= -0.1555 until[15,25] x_2 >= -0.1555 ) until[11,21] ( x_2 >= -0.1555 and x_2 >= -0.1555 ) ) ) or ( ( ( x_2 >= -0.1555 until[15,24] x_2 >= -0.1555 ) and ( x_2 >= -0.1555 until[20,29] x_2 >= -0.1555 ) ) and ( ( x_2 >= -0.1555 until[20,29] x_2 >= -0.1555 ) or ( x_2 >= -0.1555 until[2,24] x_2 >= -0.1555 ) ) ) )","((x_2>=-0.0331orx_2>=-0.0363)and(x_2>=-0.0337orx_2>=-0.0669))or((x_2>=-0.0667andx_2>=-0.0669)until[10,19](x_2>=-0.0337orx_2>=-0.0399)))","( x_2 >= -0.1929 until[19,21] x_2 >= -0.1922 )","eventually[10,17] ( x_2 >= -0.1581 )"
not ( ( ( x_2 <= 0.033 or x_2 <= -0.033 ) and ( x_2 <= -0.033 or x_2 <= -0.034 ) ) ),"( ( ( x_2 >= -0.0515 or x_2 >= -0.0555 ) and ( x_2 >= -0.0555 or x_2 >= -0.0555 ) ) or ( ( x_2 >= -0.1555 until[10,25] x_2 >= -0.1555 ) and ( x_2 >= -0.1555 until[11,20] x_2 >= -0.1555 ) ) )",ot(((x_2<=-0.0336orx_2<=-0.0369)or(x_2<=-0.0367andx_2<=-0.0389))),"( x_2 >= -0.0929 and ( x_2 >= -0.0229 until[11,13] x_2 >= -0.0222 ) )",not ( x_2 <= -0.0908 )
"( ( ( x_0 >= -0.664 or x_0 >= -0.164 ) or ( x_0 >= -0.264 or x_0 >= -0.264 ) ) until[1,inf] ( ( x_2 >= -0.963 or x_1 >= -0.263 ) and ( x_2 >= -0.666 or x_1 >= -0.266 ) ) )","( ( ( ( x_2 >= -0.9555 or x_2 >= -0.9055 ) or ( x_2 >= -0.0525 and x_2 >= -0.0555 ) ) or ( ( x_2 >= -0.2525 and x_2 >= -0.2525 ) or ( x_2 >= -0.2525 and x_2 >= -0.2555 ) ) ) until[15,22] ( ( ( x_0 <= -0.2225 or x_2 >= -0.2525 ) or ( x_2 >= -0.2525 and x_2 >= -0.2555 ) ) or ( ( x_2 >= -0.2555 until[25,30] x_2 >= -0.2555 ) and ( x_2 >= -0.2555 until[29,32] x_2 >= -0.2555 ) ) ) )","(((x_2>=-0.6632andx_2>=-0.669)and(x_2>=-0.6633orx_2>=-0.266))or((x_2>=-0.3637andx_2>=-0.369)and(x_2>=-0.6637andx_2>=-0.666)))until[10,20](((x_2>=-0.6637orx_2>=-0.6666)or(x_2>=-0.6637andx_2>=-0.666))or((x_2>=-0.6637andx_2>=-0.669)and(x_2>=-0.6637andx_2>=-0.669))))",( x_2 >= -1.0929 and x_2 >= 1.2922 ),"( not ( x_2 <= -0.9833 ) until[14,17] x_2 <= 2.0805 )"
"( ( ( x_2 >= -0.063 or x_0 >= -0.333 ) or ( x_2 >= -0.063 and x_0 >= -0.333 ) ) until[1,18] ( ( x_2 >= -0.1632 or x_0 >= -0.334 ) or ( x_2 >= -0.1632 until[15,23] x_1 >= -0.334 ) ) )","( ( ( ( x_2 >= -0.0055 or x_0 >= -0.1055 ) or ( x_2 >= -0.0055 and x_2 >= -0.0525 ) ) or ( ( x_0 >= -0.1225 and x_2 >= -0.0525 ) and ( x_2 >= -0.0525 and x_2 >= -0.0525 ) ) ) until[1,19] ( ( ( x_2 >= -0.0555 or x_2 >= -0.0555 ) or ( x_2 >= -0.0555 until[11,20] x_2 >= -0.0555 ) ) or ( ( x_2 >= -0.1555 until[12,20] x_2 >= -0.2555 ) or ( x_2 >= -0.2555 until[12,20] x_2 >= -0.2555 ) ) ) )","((x_2>=-0.0337orx_2>=-0.066)and(x_0>=-0.0937orx_0>=-0.099))or((x_2>=-0.0637andx_0>=-0.099)until[10,19](x_2>=-0.0337orx_0>=-0.099)))","( x_2 >= -0.4929 or ( x_0 >= -0.2929 until[16,18] x_0 >= -0.6922 ) )","( not ( x_0 <= -1.3922 ) until[11,13] ( ( x_0 >= 0.6866 and ( eventually[19,21] ( not ( always[3,7] ( x_1 <= -0.0447 ) ) ) or x_1 <= -1.1501 ) ) or not ( x_2 <= -0.1656 ) ) )"
not ( ( ( x_2 <= -0.363 or x_2 <= -0.363 ) and ( x_2 <= -0.363 or x_2 <= -0.363 ) ) ),"( ( ( x_2 >= -0.3555 or x_2 >= -0.4155 ) or ( x_2 >= -0.4155 until[10,25] x_2 >= -0.4555 ) ) or ( ( x_2 >= -0.4555 until[15,24] x_2 >= -0.4555 ) and ( x_2 >= -0.4555 until[12,20] x_2 >= -0.4555 ) ) )",((x_2>=-0.3933orx_2>=-0.3969)and(x_2>=-0.3937orx_2>=-0.396))or((x_2>=-0.3967andx_2>=-0.3969)and(x_2>=-0.3967andx_2>=-0.499))),"( x_2 >= -0.4929 or ( x_2 >= -0.2222 until[16,18] x_2 >= -0.2222 ) )",not ( x_2 <= -0.4458 )
( ( ( x_2 >= -0.8622 or x_2 >= -0.053 ) or ( x_2 >= -0.066 or x_2 >= -0.866 ) ) and ( ( x_2 >= -0.066 or x_2 >= -0.064 ) or ( x_2 >= -0.966 or x_2 >= -0.9662 ) ) ),"( ( ( ( x_2 >= -0.7555 or x_2 >= -0.9555 ) or ( x_2 >= -0.9555 or x_2 >= -0.9555 ) ) or ( ( x_2 >= -0.9555 and x_2 >= -0.9555 ) or ( x_2 >= -0.2555 until[2,20] x_2 >= -0.9555 ) ) ) until[1,10] ( ( ( x_2 >= -0.3555 or x_2 >= -0.9555 ) or ( x_2 >= -0.4555 until[20,29] x_2 >= -0.4555 ) ) or ( ( x_2 >= -0.3555 until[20,29] x_2 >= -0.4555 ) or ( x_2 >= -0.4555 until[2,24] x_2 >= -0.4555 ) ) ) )",((x_2>=-0.7337andx_2>=-0.9389)or(x_2>=-0.9337andx_2>=-0.969))and((x_2>=-0.9637orx_2>=-0.699)or(x_2>=-0.9937andx_2>=-0.999))),"( x_2 >= -0.8922 or ( x_2 >= -0.2222 until[16,20] x_2 >= -0.2922 ) )","always[2,7] ( x_2 >= -0.9058 )"
not ( ( ( x_2 <= 0.233 or x_2 <= 0.233 ) and ( x_2 <= 0.233 or x_2 <= 0.233 ) ) ),"not ( ( ( x_2 <= 0.1155 or x_2 <= 0.1125 ) or ( x_2 <= 0.1125 until[10,22] x_2 <= -0.0555 ) ) )",ot(((x_2<= 0.0336orx_2<= 0.0369)or(x_2<= 0.0337andx_2<= 0.0389))),"( x_2 >= 0.1923 and ( x_2 >= -0.0229 until[11,13] x_2 >= -0.0223 ) )","not ( ( x_2 <= 0.1553 and ( ( ( x_2 <= 0.6366 until[19,inf] x_1 <= 0.0283 ) and x_0 <= -0.0799 ) or x_0 <= 3.1726 ) ) )"
( ( ( x_2 >= 0.2332 or x_2 >= 0.233 ) and ( x_0 >= -0.3332 or x_2 >= 0.2332 ) ) and ( ( x_2 >= -0.1332 or x_0 >= -0.3332 ) or ( x_2 >= -0.1332 or x_0 >= -0.3332 ) ) ),"( ( ( x_2 >= 0.1155 and x_2 >= -0.0055 ) or ( x_2 >= -0.0125 and x_0 >= -0.1225 ) ) and ( ( x_2 >= -0.0525 or x_2 >= -0.0525 ) until[10,22] ( x_2 >= -0.1225 or x_0 >= -0.0555 ) ) )",((x_2>= 0.1133andx_2>= 0.1283)and(x_0>=-0.0633orx_0>=-0.0699))and((x_2>= 0.0631andx_2>= 0.066)and(x_0>=-0.0637orx_0>=-0.0699))),"( x_2 >= 0.1522 until[16,20] x_0 >= -1.0223 )","( eventually[18,inf] ( x_0 >= -0.6372 ) until[6,19] x_2 >= 0.3205 )"
( ( x_1 <= -0.663 or x_0 >= -0.643 ) and ( x_1 <= -0.663 or x_1 <= -0.666 ) ),( ( x_1 <= -0.7055 or x_0 <= -0.9006 ) and ( x_0 <= -0.9225 or x_1 <= -0.8225 ) ),"(x_1<=-0.8337orx_1<=-0.809)or(x_0<=-0.9097until[19,29]x_1<=-0.809))","( ( x_1 <= -0.7222 until[16,18] x_1 <= -0.9929 ) or x_1 <= -1.0929 )","not ( eventually[7,15] ( ( x_1 >= -0.7373 and not ( ( ( ( ( x_2 <= 0.5903 or x_2 <= 0.3889 ) or eventually[9,11] ( x_2 >= 0.038 ) ) or not ( x_2 <= -0.1738 ) ) until[9,20] ( x_1 >= 1.0915 until[3,20] ( x_0 <= 0.0331 and eventually[3,inf] ( not ( x_1 >= 2.5212 ) ) ) ) ) ) ) ) )"
( ( ( x_2 >= 0.5332 or x_2 >= 0.533 ) and ( x_2 >= 0.5332 or x_2 >= 0.5332 ) ) and ( ( x_2 >= 0.5332 or x_2 >= 0.5532 ) or ( x_2 >= 0.5532 or x_1 >= -0.3332 ) ) ),( ( ( x_2 >= 0.5155 and x_2 >= 0.5255 ) or ( x_2 >= 0.4255 and x_2 >= -0.1525 ) ) and ( ( x_2 >= 0.5255 or x_2 >= 0.5255 ) and ( x_2 >= -0.2555 or x_2 >= -0.2555 ) ) ),((x_2>= 0.3833andx_2>= 0.4289)and(x_2>= 0.4333orx_2>= 0.4299))and((x_2>= 0.5331orx_2>= 0.5699)and(x_2>= 0.5337andx_0>= 0.0999))),"( x_2 >= 0.5229 until[10,13] x_1 <= 1.2224 )","eventually[2,13] ( ( ( x_2 <= 1.7032 or ( ( x_2 <= -1.4415 or x_1 <= 0.2684 ) until always[15,17] ( x_1 >= -1.4892 ) ) ) and not ( x_2 <= 0.5325 ) ) )"
"( ( ( x_2 >= 0.4332 or x_2 >= 0.4332 ) or ( x_2 >= 0.4332 or x_2 >= 0.4332 ) ) until[1,28] ( ( x_2 >= 0.4332 or x_2 >= 0.4332 ) or ( x_2 >= 0.4332 or x_2 >= 0.4232 ) ) )","( ( ( x_2 >= -0.1555 or x_2 >= 0.4155 ) until[1,15] ( x_2 >= 0.4255 or x_2 >= -0.1555 ) ) and ( ( x_2 >= 0.4255 or x_2 >= -0.2555 ) or ( x_2 >= 0.4555 until[25,33] x_2 >= -0.4555 ) ) )","((x_2>= 0.3531orx_2>= 0.3963)and(x_2>= 0.3933orx_2>= 0.3999))or((x_2>= 0.3966until[12,29]x_2>= 0.3999)and(x_2>= 0.3937until[12,29]x_2>= 0.3999)))","( x_2 >= 0.4923 until[19,21] x_2 >= 0.4923 )","( always[10,17] ( x_2 >= 0.4838 ) until x_2 >= -0.2629 )"
"( ( ( x_2 >= 0.5232 or x_2 >= 0.6332 ) or ( x_2 >= 0.5332 or x_2 >= 0.6332 ) ) until[23,33] ( ( x_2 >= 0.6532 or x_2 >= 0.6232 ) or ( x_2 >= 0.6532 or x_2 >= 0.6232 ) ) )","( ( ( x_2 >= -0.1555 or x_2 >= -0.1525 ) until[1,21] ( x_2 >= 0.7155 or x_2 >= 0.7255 ) ) until[1,22] ( ( x_2 >= 0.6555 or x_2 >= -0.2555 ) or ( x_2 >= -0.2555 until[12,20] x_2 >= -0.4555 ) ) )","((x_2>= 0.5111orx_2>= 0.5299)and(x_2>= 0.5631orx_2>= 0.5699))until[10,28]((x_2>= 0.6631orx_2>= 0.6699)or(x_2>= 0.6637until[12,29]x_2>= 0.6699)))","eventually[19,21] ( x_2 >= 0.7262 )","eventually[19,21] ( x_2 >= 0.6845 )"
"always[25,31] ( always[25,33] ( ( x_2 <= 0.031 until[1,inf] x_2 <= -0.031 ) ) )","always[22,32] ( always[25,33] ( always[10,19] ( x_2 <= -0.0055 ) ) )","ventually[10,inf]((((x_2<= 0.0337orx_2<= 0.0397)or(x_2<= 0.0037andx_2<= 0.0397))andeventually[10,19]((x_2<= 0.0337orx_2<= 0.0337))))","always[19,inf] ( x_2 <= -0.0529 )","always[8,13] ( always[14,inf] ( x_2 <= 0.0275 ) )"
"( ( ( ( x_2 <= -0.153 or x_2 <= -0.153 ) or ( x_2 <= -0.153 or x_2 <= -0.153 ) ) until[2,12] ( ( x_2 <= 0.5531 or x_2 <= -0.153 ) or ( x_2 <= 0.5532 or x_2 <= -0.3332 ) ) ) or always[23,33] ( not ( eventually[1,28] ( x_2 >= 0.6531 ) ) ) )","eventually[24,33] ( eventually[10,21] ( not ( ( x_2 >= 0.6255 until[12,20] x_2 >= -0.2525 ) ) ) )","ventually[10,28]((((x_2<= 0.5137orx_2<= 0.5397)and(x_2<= 0.5337orx_2<= 0.699))oreventually[10,28]((x_2<= 0.6937until[10,12]x_2<= 0.699))))","eventually[19,inf] ( x_2 <= 0.6922 )","always[13,15] ( eventually[10,19] ( always[15,18] ( x_2 <= 0.6631 ) ) )"
not ( ( ( x_2 >= -0.013 or x_2 >= -0.036 ) and ( x_2 >= -0.036 or x_2 >= -0.036 ) ) ),"not ( ( not ( not ( x_2 >= -0.0055 ) ) or ( ( x_2 >= -0.0555 until[1,19] x_2 >= -0.0525 ) and ( x_2 >= -0.0525 until[10,22] x_2 >= -0.2225 ) ) ) )",((x_2<= 0.1377orx_2<= 0.133)and(x_2<=-0.1337orx_2<=-0.139))or((x_2<=-0.0377andx_2<=-0.039)and(x_2<=-0.0377andx_2<=-0.039))),( x_2 <= -0.0929 and x_2 <= -0.0929 ),not ( x_2 >= -0.0589 )
not ( not ( not ( x_2 <= 0.5532 ) ) ),not ( not ( ( ( x_2 >= 0.5255 or x_2 >= 0.5255 ) and ( x_2 >= 0.5255 or x_2 >= -0.2525 ) ) ) ),ot(((x_2<= 0.5333orx_2<= 0.5399)or(x_2<= 0.5339andx_2<= 0.5399))),"( x_2 >= 0.5223 until[1,16] x_2 >= 0.5923 )","eventually[3,7] ( x_2 >= 0.5446 )"
( ( ( x_2 >= 0.5332 or x_2 >= 0.5332 ) or ( x_2 >= 0.5332 or x_2 >= 0.5332 ) ) and ( ( x_2 >= 0.5532 or x_2 >= 0.5232 ) or ( x_2 >= 0.5532 or x_2 >= 0.5532 ) ) ),"( ( ( x_2 >= 0.5155 or x_2 >= 0.5255 ) and ( x_2 >= -0.1555 or x_2 >= -0.1555 ) ) and ( ( x_2 >= 0.5555 or x_2 >= 0.5555 ) or ( x_2 >= 0.5555 until[20,29] x_2 >= -0.4555 ) ) )","((x_2>= 0.5111orx_2>= 0.5299)and(x_2>= 0.5331orx_2>= 0.5699))or((x_2>= 0.5966andx_2>= 0.5999)and(x_2>= 0.5933until[15,29]x_2>= 0.5999)))","eventually[1,19] ( x_2 >= 0.6263 )","always[9,11] ( x_2 >= 0.6208 )"
not ( ( ( x_2 >= 0.033 or x_2 >= -0.036 ) and ( x_2 >= -0.036 or x_2 >= -0.036 ) ) ),"( ( ( x_2 <= -0.0515 or x_2 <= -0.0555 ) or ( x_2 <= -0.0555 until[1,19] x_2 <= -0.0555 ) ) until[1,19] ( ( x_2 <= -0.1555 or x_2 <= -0.2225 ) or ( x_2 <= -0.2555 until[1,21] x_2 <= -0.2225 ) ) )",((x_2<= 0.1377orx_2<= 0.133)and(x_2<= 0.0377orx_2<= 0.039))or((x_2<= 0.0377andx_2<= 0.039)and(x_2<= 0.0377andx_2<= 0.039))),"eventually[1,19] ( x_2 <= -0.0029 )","( not ( x_2 >= 0.7856 ) and not ( always[3,19] ( x_2 >= -0.032 ) ) )"
"( ( ( x_2 <= 0.513 or x_2 <= 0.553 ) or ( x_2 <= 0.553 or x_2 <= 0.553 ) ) until[1,13] ( ( x_2 <= 0.5532 or x_2 <= 0.553 ) or ( x_2 <= 0.5532 or x_2 <= 0.556 ) ) )","( ( ( ( x_2 <= -0.1555 or x_2 <= -0.1555 ) until[1,21] ( x_2 <= -0.1555 until[1,21] x_2 <= -0.1555 ) ) or ( ( x_2 <= -0.1555 or x_2 <= -0.2555 ) until[2,20] ( x_2 <= -0.2555 or x_2 <= -0.2555 ) ) ) or ( ( ( x_2 <= 0.5555 or x_2 <= -0.5555 ) or ( x_2 <= -0.5555 until[2,25] x_2 <= -0.5555 ) ) until[25,30] ( ( x_2 <= -0.5555 or x_2 <= -0.5555 ) or ( x_2 <= -0.5555 or x_2 <= -0.5555 ) ) ) )","(((x_2<= 0.5171orx_2<= 0.5397)and(x_2<= 0.5377orx_2<= 0.1997))or((x_2<= 0.5967andx_2<= 0.0997)and(x_2<= 0.5977andx_2<= 0.5997)))until[10,28](((x_2<= 0.5967orx_2<= 0.5997)or(x_2<= 0.5977andx_2<= 0.699))or((x_2<= 0.5967orx_2<= 0.6993)and(x_2<= 0.5997orx_2<= 0.699))))","( x_2 <= 0.6922 until[19,21] x_2 <= 0.6923 )","( x_2 <= 0.2519 or not ( always[6,17] ( eventually ( not ( x_2 <= 0.7373 ) ) ) ) )"
( ( ( x_2 <= -0.466 or x_2 <= -0.363 ) or ( x_2 <= -0.366 and x_2 <= -0.366 ) ) and ( ( x_2 <= -0.366 or x_2 <= -0.366 ) or ( x_2 <= -0.366 and x_1 <= -0.466 ) ) ),"( ( ( ( x_2 <= -0.5055 or x_2 <= -0.5555 ) or ( x_2 <= -0.5555 and x_2 <= -0.2525 ) ) or ( ( x_2 <= -0.2525 and x_2 <= -0.2525 ) or ( x_2 <= -0.2525 until[25,32] x_2 <= -0.2525 ) ) ) or ( ( ( x_2 <= -0.2525 until[25,32] x_2 <= -0.2525 ) or ( x_2 <= -0.2525 until[25,32] x_2 <= -0.2555 ) ) or ( ( x_2 <= -0.2955 until[25,32] x_2 <= -0.2555 ) until[25,30] ( x_2 <= -0.5555 or x_2 <= -0.2555 ) ) ) )",((x_2<=-0.3837orx_2<=-0.396)or(x_2<=-0.3337andx_2<=-0.396))and((x_2<=-0.3637orx_1<=-0.299)or(x_2<=-0.3937andx_2<=-0.396))),( x_2 <= -0.6929 or x_2 <= -1.0229 ),"( ( x_0 <= -0.5245 and always[19,21] ( eventually[15,19] ( x_1 <= -0.4177 ) ) ) or x_2 <= -0.5709 )"
