0,gold formula
"(x_0>=-0.2284until[24,32]x_0>=-0.2887)until[18,29](x_0>=-0.2887andx_0>=-0.282))","( always[1,27] ( ( not ( x_0 >= 0.3054 ) and ( x_1 >= 0.642 or x_2 >= 0.4422 ) ) ) and ( not ( eventually[28,33] ( x_2 <= -2.0159 ) ) until[31,inf] ( ( x_2 <= -1.273 or x_0 <= -0.2534 ) until[0,23] eventually[6,9] ( x_0 >= -0.7817 ) ) ) )"
"(((x_0<= 0.2877orx_2>= 0.288)or(x_2>= 0.2864orx_2>= 0.2887))or((x_2>= 0.2864orx_2>= 0.288)or(x_2>= 0.2834orx_2>= 0.288)))until[12,25](((x_2>= 0.2874orx_2>= 0.288)or(x_2>= 0.2873orx_2>=-0.2882))or((x_2<= 0.2871until[22,34]x_2>=-0.2882)or(x_2<=-0.2871orx_2<=-0.2877))))","always[22,36] ( ( not ( ( x_0 <= 1.1614 or x_1 >= -1.093 ) ) or ( always[10,16] ( x_0 >= 0.772 ) or ( x_2 <= 0.3829 and x_1 >= 0.8865 ) ) ) )"
"(((x_1<=-0.2877orx_1<=-0.288)or(x_1<=-0.2874orx_1>=-0.2887))or((x_1<=-0.2877orx_2<=-0.288)or(x_1<=-0.2874orx_1<=-0.288)))or(((x_1<=-0.2874until[22,34]x_2<=-0.288)or(x_1<=-0.2873orx_2<=-0.2872))or((x_1<=-0.2877orx_2<=-0.2878)or(x_1<=-0.2877orx_1<=-0.2877))))","eventually[9,30] ( always[23,inf] ( ( ( x_1 <= -1.3328 until[25,27] x_0 <= 0.2772 ) or ( x_1 >= -0.4273 and x_2 <= 2.1069 ) ) ) )"
"ventually[24,34]((x_0>=-0.7777orx_0>=-1.0277))","( always[22,25] ( always[9,17] ( not ( x_0 <= -1.0174 ) ) ) until[26,30] not ( ( eventually[19,26] ( x_1 >= 1.3229 ) and eventually[20,29] ( x_1 <= -1.3805 ) ) ) )"
"(x_0<=-0.5284until[24,34]x_0<=-0.2877)until[24,32](x_0<=-0.2877orx_0<=-0.282))","( always[22,24] ( ( always[22,30] ( x_0 >= 0.3839 ) until[9,30] always ( x_0 <= -0.3559 ) ) ) or eventually[18,30] ( ( eventually ( x_2 >= 0.4048 ) and not ( x_0 >= -0.4952 ) ) ) )"
"(((x_0<=-0.2857orx_2<=-0.288)or(x_0<=-0.2864orx_1<=-0.2888))until[22,34]((x_1<=-0.2867orx_2<=-0.288)or(x_1<=-0.2883orx_1<=-0.288)))until[12,28]not(((x_1<=-0.2883orx_2<=-0.288)or(x_1<=-0.2883orx_1<=-0.2882))))","always[30,inf] ( ( eventually[10,28] ( ( x_1 <= 0.0624 until[19,27] x_0 <= -0.7606 ) ) or ( not ( x_0 >= -0.3452 ) and eventually[4,28] ( x_1 <= -0.3536 ) ) ) )"
"(x_0<=-0.2254until[24,32]x_0<=-0.2877)or(x_0<=-0.2877orx_0<=-0.2822))","( ( ( ( x_2 >= -1.4032 or x_0 >= 0.5535 ) and always[23,28] ( x_0 <= -0.2905 ) ) or ( not ( x_1 <= 1.3361 ) and always[4,17] ( x_0 <= 0.1464 ) ) ) until not ( not ( not ( x_2 >= 1.4437 ) ) ) )"
"(((x_2<=-0.1877orx_2<=-0.287)or(x_2<=-0.2877orx_2<=-0.2877))until[22,34]((x_2<=-0.2877orx_2<=-0.287)or(x_2<=-0.2873orx_2<=-0.287)))or(((x_2<=-0.2777until[22,34]x_2<=-0.287)or(x_2<=-0.2773orx_2<=-0.2772))until[24,34]((x_2<=-0.2771orx_2<=-0.2772)or(x_2<=-0.2777orx_2<=-0.2772))))","always[3,inf] ( not ( ( ( x_1 <= -0.5336 and x_0 <= -0.7184 ) or always ( x_2 >= -0.7314 ) ) ) )"
"(((x_2<=-0.1877orx_2<=-0.287)or(x_2<=-0.2877orx_2<=-0.2877))until[22,34]((x_2<=-0.2877orx_2<=-0.282)or(x_2<=-0.2873orx_2<=-0.287)))or(((x_2<=-0.2777until[22,34]x_2<=-0.287)or(x_2<=-0.2773orx_2<=-0.2772))or((x_2<=-0.2777orx_2<=-0.2872)or(x_2<=-0.2777orx_2<=-0.2772))))","eventually[24,31] ( not ( not ( ( x_0 <= 1.1933 until[20,36] x_2 <= -0.6903 ) ) ) )"
"(((x_2<=-0.2877until[24,34]x_2<=-0.2877)or(x_2<=-0.2874orx_2<=-0.2822))or((x_2<=-0.2814until[22,34]x_2<=-0.282)or(x_2<=-0.2813until[22,34]x_2<=-0.2722)))or(((x_2<=-0.2813until[22,34]x_2<=-0.2772)or(x_2<=-0.2711until[22,34]x_2<=-0.2772))or((x_2<=-0.2871until[22,34]x_2<=-0.2872)or(x_2<=-0.2899until[22,34]x_2<=-0.2877))))","( eventually[32,36] ( not ( ( x_2 <= 1.493 or x_1 >= -1.1405 ) ) ) or always[27,34] ( always[26,36] ( ( x_1 <= -0.5839 or x_2 >= -1.4334 ) ) ) )"
"(((x_1<= 0.2877orx_2<= 0.2888)or(x_1<= 0.2884orx_2<= 0.2888))until[22,34]((x_1<= 0.2887orx_2<= 0.288)or(x_1<= 0.2884orx_2<= 0.288)))or(((x_2<= 0.2884orx_2<= 0.2882)or(x_2<= 0.2883orx_2<=-0.2882))until[24,36]((x_1<= 0.2887orx_2<=-0.2882)or(x_1<=-0.2887orx_2<=-0.2882))))","( ( ( always[1,11] ( x_0 >= -1.5883 ) and always ( x_0 <= -1.0355 ) ) and ( ( x_0 <= -0.0181 and x_0 <= -0.3439 ) and ( x_1 <= -0.0108 and x_2 >= 0.045 ) ) ) or always ( always[25,33] ( ( x_1 <= 0.2197 until[29,33] x_2 <= 0.9115 ) ) ) )"
"(((x_1<=-0.2884orx_1>=-0.2888)until[24,34](x_1<=-0.2884orx_1<=-0.2888))and((x_1<=-0.2884orx_1<=-0.2888)until[28,32](x_1<=-0.2883andx_1<=-0.2888)))until[18,32]not(((x_1<=-0.2883orx_1<=-0.2888)and(x_1<=-0.2883orx_1<=-0.2888))))","always[31,35] ( ( eventually[8,22] ( ( x_1 >= -0.5582 and x_2 >= -1.0428 ) ) until[17,26] ( ( x_1 >= -2.2068 and x_1 <= -0.6153 ) until not ( x_2 <= -1.6463 ) ) ) )"
"(((x_2<= 0.2877orx_2>= 0.282)or(x_2>= 0.2814orx_2>= 0.2827))or((x_2<= 0.2814orx_2<= 0.222)or(x_2<= 0.2214until[22,34]x_2<= 0.282)))or(((x_2<= 0.2814until[22,34]x_2<= 0.282)or(x_2<= 0.2711until[22,34]x_2<= 0.2722))or((x_2<= 0.2811andx_2<= 0.2822)or(x_2<= 0.2711until[22,34]x_2>= 0.2822))))","always[13,36] ( eventually[33,35] ( eventually[16,28] ( eventually ( x_2 <= 1.6923 ) ) ) )"
"(((x_2<=-0.1854orx_2<=-0.188)or(x_2<=-0.1864orx_2>=-0.2888))or((x_2<=-0.1814orx_2<=-0.288)or(x_2<=-0.2814until[22,34]x_2<=-0.288)))or(((x_2<=-0.1874until[22,34]x_2<=-0.288)or(x_2<=-0.2813until[28,34]x_2<=-0.2882))or((x_2<=-0.1871orx_2<=-0.2882)or(x_2<=-0.1819orx_2<=-0.2888))))","not ( ( ( always[29,inf] ( x_0 >= -0.8704 ) or eventually[21,26] ( x_1 >= -0.3038 ) ) and eventually[20,29] ( ( x_1 >= -2.0736 until[14,inf] x_2 <= -0.4082 ) ) ) )"
(x_1<= 0.7277orx_1<= 0.7287)or(x_1<= 0.7774orx_1<= 0.7287)),"not ( ( not ( always[32,36] ( x_1 <= 0.82 ) ) or not ( eventually[4,inf] ( x_1 <= 1.9632 ) ) ) )"
"ventually[15,34](eventually[15,29](not((x_2<= 0.2277orx_2>= 0.2287))))","( eventually[0,10] ( ( eventually[29,32] ( x_2 >= -0.7586 ) and always[34,36] ( x_2 >= 0.2069 ) ) ) and ( not ( always[17,inf] ( x_2 <= -0.2036 ) ) or not ( eventually[11,15] ( x_2 >= -0.1771 ) ) ) )"
"(((x_2<= 0.1554orx_2<= 0.2284)or(x_2<= 0.2814orx_2<= 0.2822))or((x_2<= 0.2814orx_2<= 0.222)or(x_2<= 0.2814until[22,34]x_2<= 0.282)))or(((x_2<= 0.2814until[22,34]x_2<= 0.2822)or(x_2<= 0.2811andx_2<= 0.2822))or((x_2<= 0.2811andx_2<= 0.2822)or(x_2<= 0.2711andx_2<= 0.2822))))","( ( eventually[8,19] ( eventually[25,27] ( x_1 >= 0.68 ) ) until[6,11] not ( eventually[9,14] ( x_0 >= 0.0952 ) ) ) or ( ( not ( x_1 <= 0.4449 ) until[14,inf] ( x_1 <= 0.7622 and x_0 <= 0.8103 ) ) or always[30,32] ( not ( x_2 >= 0.2334 ) ) ) )"
"(((x_2<=-0.1877orx_2<=-0.287)or(x_2<=-0.2877orx_2<=-0.2877))until[22,34]((x_2<=-0.2877orx_2<=-0.282)or(x_2<=-0.2873orx_2<=-0.288)))or(((x_2<=-0.2877until[22,34]x_2<=-0.287)or(x_2<=-0.2873orx_2<=-0.2872))until[14,31]((x_2<=-0.2771orx_2<=-0.2822)or(x_2<=-0.2777orx_2<=-0.2872))))","always[19,26] ( not ( ( eventually[30,32] ( x_2 >= -0.5267 ) or always[3,8] ( x_1 <= -0.4704 ) ) ) )"
"(((x_1<=-0.2887orx_1>=-0.2888)or(x_1>=-0.2887orx_1>=-0.2888))until[22,34]((x_1<=-0.2883orx_1<=-0.288)until[28,32](x_1<=-0.2883orx_1<=-0.2888)))and(((x_1<=-0.2883orx_2<=-0.2888)or(x_1<=-0.2883orx_1<=-0.2888))until[24,36]((x_1<=-0.2883orx_1<=-0.2888)and(x_1<=-0.2889orx_1<=-0.2888))))","( not ( ( not ( x_2 <= -0.9847 ) until[28,33] ( x_2 <= -0.8124 or x_2 <= -0.1428 ) ) ) and always[32,inf] ( eventually ( ( x_1 <= -0.438 until[28,33] x_0 >= -0.175 ) ) ) )"
"(((x_2<= 0.1554orx_2<= 0.2884)or(x_2<= 0.2814orx_2>= 0.2827))or((x_2<= 0.2814orx_2<= 0.222)or(x_2<= 0.2814until[22,34]x_2<= 0.282)))or(((x_2<= 0.2874until[22,34]x_2<= 0.282)or(x_2<= 0.2811until[22,34]x_2<= 0.2722))or((x_2<= 0.2817orx_2<= 0.2822)or(x_2<= 0.2817orx_2<= 0.2822))))","always[14,24] ( ( eventually[16,27] ( eventually ( x_2 <= -0.0902 ) ) or not ( ( x_2 >= 0.2596 until[21,29] x_1 <= 0.6219 ) ) ) )"
"(((x_2<=-0.1884orx_2<=-0.2888)or(x_2<=-0.2884orx_2<=-0.2888))until[22,34]((x_2<=-0.2863orx_2<=-0.288)or(x_2<=-0.2834orx_2<=-0.288)))until[12,28]not(((x_2<=-0.2883orx_2<=-0.288)or(x_2<=-0.2883orx_2<=-0.2882))))","always ( ( ( eventually[7,9] ( x_2 <= 1.0401 ) or eventually[33,36] ( x_2 >= -2.0142 ) ) and always[2,36] ( ( x_2 >= -0.3838 until[24,27] x_1 <= 0.2082 ) ) ) )"
"(((x_2<= 0.1514orx_2>= 0.2284)or(x_2>= 0.2814orx_2>= 0.2828))or((x_2<= 0.2814orx_2<= 0.222)or(x_2<= 0.2214until[22,34]x_2<= 0.282)))or(((x_2<= 0.2814until[22,34]x_2<= 0.282)or(x_2<= 0.2811until[22,34]x_2<= 0.2822))or((x_2<= 0.2811andx_2<= 0.2822)or(x_2<= 0.2811andx_2<= 0.2822))))","( not ( always[5,20] ( always[4,8] ( x_2 >= 0.6493 ) ) ) or not ( not ( always ( x_0 >= 0.0646 ) ) ) )"
"(((x_2<=-0.1877orx_2<=-0.287)or(x_2<=-0.2877orx_2<=-0.2877))until[22,34]((x_2<=-0.2877orx_2<=-0.282)or(x_2<=-0.2873orx_2<=-0.287)))until[12,28]not(((x_2<=-0.2773orx_2<=-0.2772)or(x_2<=-0.2773orx_2<=-0.2772))))","always[34,36] ( ( always[32,35] ( eventually[15,inf] ( x_2 <= -1.1285 ) ) and always[22,31] ( eventually[22,inf] ( x_1 >= -1.034 ) ) ) )"
"(((x_2<= 0.1877orx_2>=-0.288)or(x_2>=-0.2864orx_2>=-0.2887))or((x_2<=-0.2867orx_2<=-0.288)or(x_2<=-0.2863orx_2<=-0.288)))until[12,25](((x_2<=-0.2874until[22,34]x_2<=-0.288)or(x_2<=-0.2873orx_2<=-0.2872))or((x_2<=-0.2871until[24,36]x_2<=-0.2872)or(x_2<=-0.2877orx_2<=-0.2877))))","( ( always[24,32] ( eventually[28,35] ( x_0 >= 0.7199 ) ) or ( ( x_2 <= -0.1209 and x_1 <= 1.588 ) and always ( x_2 <= 0.1249 ) ) ) until[1,18] not ( eventually[10,inf] ( ( x_1 >= -1.3189 and x_1 <= -0.8658 ) ) ) )"
"(((x_0<= 0.2877orx_2>=-0.288)or(x_2>=-0.2864orx_2>=-0.2887))or((x_1<=-0.2867orx_2<=-0.288)or(x_2<=-0.2863orx_2<=-0.288)))until[12,25](((x_1<=-0.2874until[22,34]x_2<=-0.288)or(x_1<=-0.2873orx_2<=-0.2882))or((x_1<=-0.2877orx_2<=-0.2877)or(x_1<=-0.2877orx_2<=-0.2887))))","( always[17,35] ( ( not ( x_0 >= -1.5503 ) or always[21,35] ( x_1 <= -0.9497 ) ) ) or not ( ( not ( x_1 >= 1.1216 ) and ( x_0 >= 0.6925 or x_0 <= 2.4057 ) ) ) )"
"(((x_2<= 0.5877orx_2>=-0.288)or(x_2>=-0.2887orx_2>=-0.2888))or((x_2<=-0.2877orx_2<=-0.288)or(x_2<=-0.2883orx_2<=-0.288)))until[12,28](((x_2<=-0.2874orx_2<=-0.288)or(x_2<=-0.2883orx_2<=-0.2882))or((x_2<=-0.2871orx_2<=-0.2882)or(x_2<=-0.2871orx_2<=-0.2882))))","( ( ( ( x_1 <= 1.8512 until[3,19] x_2 >= -1.8034 ) or eventually[12,inf] ( x_0 <= -0.2505 ) ) and always[6,14] ( ( x_1 <= -1.2209 until[7,36] x_2 >= -0.2924 ) ) ) or eventually[31,36] ( eventually[4,29] ( ( x_2 <= 0.6893 and x_0 >= 1.5784 ) ) ) )"
"ventually[15,34](always[15,34](((x_2>= 0.1877orx_2>= 0.2877)or(x_2>= 0.2813orx_2>= 0.2882))))","always[24,28] ( always[18,28] ( eventually[7,15] ( ( x_2 >= -1.0786 until[19,inf] x_2 >= 0.3529 ) ) ) )"
"(x_1>= 0.2244until[14,29]x_1>= 0.2287)until[14,29](x_1>= 0.2284andx_1>= 0.2228))","( not ( ( always[15,24] ( x_1 <= 0.5614 ) or ( x_2 >= -0.8545 and x_0 <= -1.0327 ) ) ) until[2,25] always[19,29] ( not ( ( x_1 >= 0.2324 and x_2 >= -2.3531 ) ) ) )"
"ventually[15,28](x_0<= 0.5277)","not ( ( eventually[24,28] ( not ( x_0 <= 0.4758 ) ) and ( eventually[9,27] ( x_2 >= -0.6417 ) or ( x_0 >= 0.1339 or x_2 >= -0.6822 ) ) ) )"
"(((x_1<= 0.2877orx_1<= 0.2887)or(x_1<= 0.2864orx_1<= 0.2828))or((x_1<= 0.2874orx_1<= 0.282)or(x_1<= 0.2864until[22,34]x_1<= 0.2822)))or(((x_1<= 0.2874until[22,34]x_2<= 0.2822)or(x_1<= 0.2871andx_1<= 0.2822))or((x_1<= 0.2877until[22,34]x_2<= 0.2822)or(x_1<= 0.2877orx_1<= 0.2828))))","always[10,29] ( always[7,13] ( eventually[5,27] ( ( x_1 <= 1.054 or x_1 <= 1.0752 ) ) ) )"
"(((x_2<= 0.1857orx_2<=-0.288)or(x_2>=-0.2864orx_2>=-0.2888))or((x_2<=-0.2864orx_2<=-0.288)or(x_2<=-0.2834until[22,34]x_2<=-0.288)))or(((x_2<= 0.2874until[22,34]x_2<=-0.288)or(x_2<=-0.2813orx_2<=-0.2882))or((x_2<=-0.2818orx_2<=-0.2882)or(x_2<=-0.2819orx_2<=-0.2882))))","not ( ( ( always[11,19] ( x_1 >= -0.3484 ) or ( x_2 <= 0.2202 or x_1 >= -1.4867 ) ) until[5,inf] ( eventually[23,inf] ( x_2 <= 0.1994 ) until eventually[7,inf] ( x_1 <= 0.6398 ) ) ) )"
"(x_0<=-0.7297until[24,34]x_0<=-1.0287)until[18,32](x_1<=-0.2877andx_1<=-0.282))","always[12,31] ( ( ( ( x_1 >= -0.1446 and x_1 <= -0.2268 ) and not ( x_0 >= 0.0702 ) ) until[32,inf] ( ( x_0 <= -0.9653 or x_0 >= -1.1437 ) and not ( x_0 >= -1.9766 ) ) ) )"
"(x_0>= 0.7284andx_1>= 1.0227)until[14,28](x_1>= 0.2281andx_1>= 0.2282))","( ( ( not ( x_0 <= 0.447 ) until[6,33] ( x_0 <= 0.7003 and x_1 >= 0.9766 ) ) or not ( eventually ( x_1 >= -0.3504 ) ) ) and not ( not ( ( x_0 >= 0.905 and x_1 >= 1.4791 ) ) ) )"
"(((x_2<= 0.1877orx_2>=-0.288)or(x_2>=-0.2864orx_2>=-0.2887))or((x_2<=-0.2864orx_2<=-0.288)or(x_2<=-0.2863orx_2<=-0.288)))until[12,25](((x_2<=-0.2874until[22,34]x_2<=-0.288)or(x_2<=-0.2873orx_2<=-0.2882))or((x_2<=-0.2871until[24,36]x_2<=-0.2882)or(x_2<=-0.2871orx_2<=-0.2882))))","( ( ( eventually[28,35] ( x_1 >= 1.2273 ) and not ( x_2 <= -1.3616 ) ) or ( not ( x_1 >= -0.3464 ) and ( x_2 >= -2.1145 and x_0 <= 2.0321 ) ) ) and ( not ( not ( x_2 >= 0.0597 ) ) or always[14,31] ( ( x_2 >= 0.539 or x_0 >= 0.0719 ) ) ) )"
"(x_1>= 0.1244until[24,32]x_1>= 0.2287)until[18,29](x_1>= 0.2287orx_1>= 0.2227))","eventually[18,33] ( eventually[23,inf] ( ( ( x_1 >= 0.1692 until[0,34] x_0 <= 0.3043 ) and ( x_2 >= -2.1713 or x_2 <= 0.7416 ) ) ) )"
"(((x_2<=-0.1887orx_2<=-0.2882)and(x_2<=-0.2887orx_2<=-0.2888))until[22,34]((x_2<=-0.2813orx_2<=-0.2882)and(x_2<=-0.2813andx_2<=-0.2882)))until[12,25](((x_2<=-0.2813andx_2<=-0.2882)and(x_2<=-0.2813andx_2<=-0.2822))and((x_2<=-0.2818andx_2<=-0.2882)and(x_2<=-0.2819andx_2<=-0.2882))))","( ( ( eventually[14,31] ( x_0 <= 0.1243 ) until[1,17] eventually[27,36] ( x_1 >= -0.7598 ) ) and always[34,36] ( ( x_2 <= -0.8923 or x_2 <= -0.9743 ) ) ) and not ( ( ( x_0 >= 0.8033 and x_1 <= 0.2788 ) or not ( x_2 >= 0.2237 ) ) ) )"
"(((x_0<=-0.2877orx_2<=-0.288)or(x_2<=-0.2873orx_2>=-0.2877))or((x_2<=-0.2877orx_2>=-0.288)or(x_2<=-0.2873orx_2<=-0.288)))until[22,34](((x_2<=-0.2873until[22,34]x_2>=-0.288)or(x_2<=-0.2873until[22,34]x_2<=-0.287))or((x_2<=-0.2871until[28,36]x_2<=-0.287)or(x_2<=-0.2873orx_2<=-0.287))))","( ( ( ( x_2 >= -0.1406 or x_1 >= -1.846 ) until[32,36] eventually[23,32] ( x_0 >= -0.7999 ) ) and ( ( x_0 <= 1.5537 or x_2 <= 0.932 ) or always[28,30] ( x_2 >= -0.0345 ) ) ) or eventually[26,29] ( ( always ( x_1 >= -0.1581 ) until[19,inf] eventually[1,3] ( x_2 >= 0.361 ) ) ) )"
"(((x_2<=-0.2877andx_2<=-0.2882)and(x_2<=-0.2887orx_2<=-0.2882))until[22,34]((x_2<=-0.2813orx_2<=-0.2882)and(x_2<=-0.2813andx_2<=-0.2882)))and(((x_2<=-0.2814andx_2<=-0.2882)until[22,34](x_2<=-0.2811andx_2<=-0.2822))and((x_2<=-0.2811andx_2<=-0.2822)and(x_2<=-0.2811andx_2<=-0.2882))))","( ( ( ( x_2 >= 1.7123 until[14,16] x_0 >= 0.5662 ) and always[29,inf] ( x_1 <= -0.7203 ) ) until[32,36] always[19,31] ( ( x_1 >= -1.1926 and x_2 <= -2.5625 ) ) ) and ( ( always[15,32] ( x_0 >= 0.9269 ) and ( x_0 >= -0.4259 until[20,30] x_0 >= -0.4979 ) ) or ( ( x_0 <= -0.7795 and x_2 <= -3.2384 ) or ( x_1 <= 0.3292 or x_2 <= -0.0523 ) ) ) )"
"(((x_2<= 0.1877orx_2<=-0.288)or(x_2<=-0.2874orx_2<=-0.2887))until[22,34]((x_2<=-0.2877orx_2<=-0.282)or(x_2<=-0.2873orx_2<=-0.288)))or(((x_2<=-0.2874until[22,34]x_2<=-0.287)or(x_2<=-0.2873orx_2<=-0.2872))until[18,31]((x_2<=-0.2811orx_2<=-0.2822)or(x_2<=-0.2877orx_2<=-0.2872))))","( ( always[26,32] ( ( x_0 >= 0.9946 or x_1 >= -0.4027 ) ) and not ( always[30,inf] ( x_0 <= -2.2161 ) ) ) and always ( not ( ( x_2 >= 0.223 or x_2 >= 2.1557 ) ) ) )"
"((((x_2<= 0.1867orx_2>=-0.2888)or(x_2<=-0.2864orx_2>=-0.2888))or((x_2<=-0.2814orx_2<=-0.288)or(x_2<=-0.2864until[22,34]x_2<=-0.288)))or(((x_2<=-0.2874until[22,34]x_2<=-0.282)or(x_2<=-0.2813andx_2<=-0.288))or((x_2<=-0.2811until[22,34]x_2<=-0.2822)and(x_2<=-0.2817until[22,34]x_2<=-0.2882))))oralways[12,34](always[12,29](((x_2<=-0.2879andx_2<=-0.2822)and(x_2<=-0.1899andx_2<=-0.2828)))))","( always[13,36] ( ( not ( x_2 <= 0.0099 ) until[3,5] ( x_1 >= 0.6217 or x_2 >= -1.6706 ) ) ) or not ( always[16,inf] ( always[21,27] ( x_2 >= -0.4035 ) ) ) )"
"(((x_0<=-0.2877orx_2<=-0.288)or(x_2<=-0.2864orx_2<=-0.2888))until[22,34]((x_2<=-0.2863orx_2<=-0.288)until[22,34](x_2<=-0.2873orx_2<=-0.2882)))and(((x_2<=-0.2883orx_2<=-0.2882)or(x_2<=-0.2883orx_2<=-0.2882))until[18,31]((x_2<=-0.2819orx_2<=-0.2882)and(x_2<=-0.2883orx_2<=-0.2882))))","( not ( eventually[21,inf] ( ( x_0 >= 0.2319 or x_2 >= 0.8436 ) ) ) and ( always[11,28] ( ( x_2 <= 0.6446 and x_1 <= -0.192 ) ) or ( ( x_0 >= -2.1232 until[33,35] x_0 >= 0.8663 ) and not ( x_0 >= -0.0138 ) ) ) )"
(x_1<= 0.0284orx_1>= 0.2887)or(x_1<= 0.2884orx_1<=-0.2888)),"( not ( not ( not ( x_1 >= 0.0646 ) ) ) until[4,33] not ( ( ( x_0 >= -1.3249 and x_1 <= -0.5953 ) and always[0,3] ( x_0 >= 1.2825 ) ) ) )"
"ventually[15,34](eventually[15,31](((x_2>=-0.1877orx_2>=-0.2877)or(x_2>=-0.2814orx_2>=-0.2882))))","not ( always[9,20] ( eventually[33,36] ( not ( x_2 >= -0.4437 ) ) ) )"
"((((x_0<= 0.2874andx_2>=-0.228)or(x_2>=-0.2864orx_2>=-0.2828))or((x_2>=-0.2814orx_2<=-0.222)or(x_2>=-0.2284until[22,34]x_2<=-0.282)))or(((x_2<= 0.2814until[22,34]x_2<=-0.222)or(x_2<=-0.2283andx_2<=-0.2222))or((x_2<=-0.2811until[24,34]x_2<=-0.2822)and(x_2<=-0.2811andx_2<=-0.2822))))or((((x_2<= 0.2899until[22,34](x_2<=-0.2828))or((x_2<=-0.2899andx_2<=-0.2828)and(x_2>= 0.2899andx_2>=-0.2889)))or(((x_2>= 0.1999until[19,34]x_2>=-0.2829))or((x_2>= 0.1.1999orx_2>=-0.2899)and(x_2>=-0.1.19999andx_2>=-0<=-0.2.289999)))))))","( ( ( eventually[24,27] ( x_1 <= -0.888 ) until[18,20] eventually[5,29] ( x_0 >= 0.1196 ) ) or ( ( x_0 >= -0.9872 until[8,13] x_2 <= 0.1097 ) until[33,36] ( x_0 <= -0.675 until[28,30] x_0 >= -0.6991 ) ) ) or ( ( ( x_2 <= -0.6251 until[20,28] x_1 <= 0.6983 ) or always[22,36] ( x_1 >= -1.8273 ) ) or not ( ( x_0 >= 1.5119 until[6,35] x_1 >= 1.5802 ) ) ) )"
"(((x_2<= 0.1867orx_2>=-0.288)or(x_2>=-0.2864orx_2>=-0.2888))until[22,34]((x_2<=-0.2863orx_2<=-0.288)or(x_2<=-0.2863orx_2<=-0.288)))or(((x_2<=-0.2874until[22,34]x_2<=-0.288)or(x_2<=-0.2873orx_2<=-0.2882))until[18,31]((x_2<=-0.2811orx_2<=-0.2882)or(x_2<=-0.2877orx_2<=-0.2882))))","( eventually[31,35] ( eventually ( not ( x_2 <= -0.3012 ) ) ) until[32,35] not ( always[26,28] ( ( x_2 >= 1.1632 and x_2 >= -0.3938 ) ) ) )"
"ventually[24,34](eventually[15,34](always[15,34]((x_1>=-0.2777orx_1>=-0.2777)))))","( eventually[23,35] ( always ( not ( x_1 <= -0.6539 ) ) ) or not ( eventually ( not ( x_1 >= -0.1387 ) ) ) )"
"(((x_2<= 0.1654orx_2>= 0.288)or(x_2>= 0.2864orx_2>= 0.2828))or((x_2<= 0.2864orx_2<= 0.222)or(x_2<= 0.2864until[22,34]x_2<= 0.282)))or(((x_2<= 0.2874until[22,34]x_2<= 0.282)or(x_2<= 0.2813andx_2<=-0.2822))or((x_2<= 0.2811until[24,36]x_2<=-0.2822)or(x_2<=-0.2871andx_2<=-0.2822))))","always ( ( not ( ( x_2 >= 0.0009 and x_1 <= 0.9615 ) ) or ( always[10,12] ( x_1 <= 0.5429 ) until[26,29] eventually[31,inf] ( x_1 <= -0.4674 ) ) ) )"
(x_0>= 0.014orx_0>=-0.0227)or(x_0>=-0.2294orx_0>=-0.2227)),"( not ( not ( eventually[19,29] ( x_0 >= -0.0306 ) ) ) or always[12,20] ( eventually[16,20] ( ( x_0 <= 0.2645 or x_0 <= 0.4279 ) ) ) )"
"ventually[24,34](x_0>=-0.7777)","( ( ( eventually[16,inf] ( x_2 >= -3.0276 ) until[15,18] ( x_0 >= -0.1087 or x_0 >= -1.547 ) ) or eventually[17,inf] ( always[7,36] ( x_2 >= 0.0429 ) ) ) and eventually[18,26] ( not ( not ( x_0 >= -0.8422 ) ) ) )"
"(((x_2<= 0.1554orx_2<= 0.2284)or(x_2<= 0.2814orx_2<= 0.2822))or((x_2<= 0.2814orx_2<= 0.2222)or(x_2<= 0.2814until[22,34]x_2<= 0.2822)))or(((x_2<= 0.2814until[22,34]x_2<= 0.2722)or(x_2<= 0.2811andx_2<= 0.2722))or((x_2<= 0.2711andx_2<= 0.2822)or(x_2<= 0.2711andx_2<= 0.2722))))","( ( ( ( x_2 >= 0.2619 until[9,inf] x_0 <= -0.8505 ) and always[11,16] ( x_1 >= -0.1568 ) ) and eventually[23,25] ( always[9,inf] ( x_2 <= 1.5947 ) ) ) or ( ( ( x_2 <= 0.641 until[2,22] x_2 <= -0.358 ) until[25,28] ( x_2 >= 0.0592 until[9,33] x_2 >= -0.0729 ) ) or eventually[17,35] ( eventually[17,33] ( x_2 <= 0.4504 ) ) ) )"
x_0>=-0.667orx_0>=-0.6777),"not ( not ( ( eventually[10,16] ( x_0 >= 1.2284 ) or eventually[22,26] ( x_0 <= -0.3384 ) ) ) )"
